crtR(2011:2022),mean curvature,Gaussian curvature,ridge degree,ravine degree
0.495831,-14.444746,-165.34793,-100,-100
0.476859,10.997022,-3960.425344,-100,44.312587
0.485051,-79.941981,-10529.27639,163.331689,-100
0.481999,7.462104,-7816.524755,-100,58.93578
0.470803,39.072404,-4903.80848,-100,77.471487
0.473421,51.782078,-2985.069545,-100,87.557907
0.480298,117.776201,-140.370399,-100,109.431386
0.402387,52.338621,1102.028438,-100,-100
0.409291,79.013261,4250.220977,-100,-100
0.389769,102.162743,6942.42061,-100,-100
0.47489,12.396115,-7284.714713,-100,57.832679
0.424712,35.564385,-1769.511897,-100,72.624115
0.499797,-10.617536,-106.452909,-100,-100
0.500505,-7.61257,-50.424363,-100,-100
0.488401,-7.61257,-50.424363,-100,-100
0.506694,-7.61257,-50.424363,-100,-100
0.487342,-86.358478,-8109.569581,156.475463,-100
0.384964,-12.892978,-206.904803,28.855169,-100
0.457033,38.346977,979.820275,-100,-100
0.456475,71.300906,2874.29372,-100,-100
0.4259,60.333416,1351.827025,-100,-100
0.427478,33.17082,1.454998,-100,-100
0.432548,33.17082,1.454998,-100,-100
0.451016,147.046822,5626.878363,-100,159.385364
0.444297,168.816847,13413.11038,-100,177.505681
0.425444,21.450805,-976.622234,-100,-100
0.422303,35.564385,-1769.511897,-100,72.624115
0.450939,57.98176,1391.322346,-100,-100
0.444562,33.17082,1.454998,-100,-100
0.419612,32.854531,-1312.939301,-100,-100
0.470727,42.879266,1164.060579,-100,-100
0.470921,72.061541,980.577322,-100,113.407144
0.476365,-179.528894,18358.45555,201.906395,-100
0.474072,-49.003075,476.288548,-100,-100
0.437017,-49.003075,476.288548,-100,-100
0.506479,-17.661767,-60.633711,-100,-100
0.415944,66.67016,1657.667788,-100,-100
0.421286,59.95277,725.818952,-100,-100
0.519889,3.233588,-1.731531,-100,-100
0.50076,-49.003075,476.288548,-100,-100
0.50361,-179.528894,18358.45555,267.053793,-100
0.49823,-182.02892,19667.94893,162.829352,-100
0.469562,-182.02892,19667.94893,162.829352,-100
0.493327,-86.00567,-12323.56659,189.517311,-100
0.49796,-86.00567,-12323.56659,189.517311,-100
0.472479,-31.325563,-3559.730119,85.537624,-100
0.463021,42.003352,-1759.436234,-100,63.931605
0.440658,26.719023,-126.742106,-100,-100
0.439694,26.719023,-126.742106,-100,-100
0.435334,26.719023,-126.742106,-100,-100
0.446581,26.719023,-126.742106,-100,-100
0.450174,78.851568,3046.007016,-100,-100
0.443615,60.333416,1351.827025,-100,-100
0.458557,20.585015,289.096625,-100,-100
0.42636,-43.740436,539.615409,-100,-100
0.391191,2.52901,-90.173907,-100,-100
0.401207,43.626361,752.823663,-100,-100
0.402886,52.338621,1102.028438,-100,-100
0.39847,43.773512,775.401656,-100,-100
0.407478,52.338621,1102.028438,-100,-100
0.472387,51.782078,-2985.069545,-100,88.816202
0.469935,62.202613,-2154.042067,-100,103.199095
0.472639,51.782078,-2985.069545,-100,88.816202
0.453004,-22.618791,-145.929741,-100,-100
0.456011,-19.888452,-148.16074,-100,-100
0.462798,20.669552,-3706.369749,-100,-100
0.459245,-18.322699,-396.77605,-100,-100
0.460049,-15.379822,-364.279915,-100,-100
0.474734,-21.334549,-2371.806101,58.084349,-100
0.48471,-45.799558,-2719.216101,86.901316,-100
0.479859,-25.727179,-2264.699923,61.894123,-100
0.463418,-23.940921,-1900.662622,33.895243,-100
0.457399,-23.79882,135.224731,-100,-100
0.457367,-17.698078,234.829981,-100,-100
0.446392,13.826022,-402.783222,-100,-100
0.452729,33.4164,270.978145,-100,-100
0.512881,-35.879692,417.057287,-100,-100
0.417424,66.67016,1657.667788,-100,-100
0.422513,167.879327,15042.0645,-100,130.491952
0.425841,168.816847,13413.11038,-100,124.83155
0.433602,168.816847,13413.11038,-100,139.379159
0.40207,-7.725715,31.026033,-100,-100
0.383704,-12.892978,-206.904803,28.855169,-100
0.393818,-0.552313,-158.484302,-100,-100
0.460755,-64.953654,2816.89289,-100,-100
0.452596,37.103247,155.935181,-100,56.424074
0.463633,24.333124,417.245189,-100,-100
0.457898,47.927883,1547.493093,-100,-100
0.463007,33.065241,747.541206,-100,-100
0.463561,33.065241,747.541206,-100,-100
0.42938,26.719023,-126.742106,-100,-100
0.435367,13.826022,-402.783222,-100,-100
0.448823,-66.53682,3048.082917,-100,-100
0.45441,-52.954863,1944.177705,-100,-100
0.462856,-13.576804,140.655151,-100,-100
0.466833,-13.576804,140.655151,-100,-100
0.462402,43.20494,1225.382637,-100,-100
0.524977,-8.712613,5.721656,-100,-100
0.51887,-17.661767,-60.633711,-100,-100
0.517945,-49.003075,476.288548,-100,-100
0.506474,-200.720512,19128.38963,329.158782,-100
0.456061,-15.175553,-484.925814,-100,-100
0.522695,-90.886935,3572.789789,-100,-100
0.517394,-200.720512,19128.38963,299.827395,-100
0.515712,-136.932667,-12132.51428,281.286588,-100
0.5172,-182.02892,19667.94893,186.752036,-100
0.528932,-105.581001,8171.782576,-100,-100
0.45498,-23.79882,135.224731,-100,-100
0.459615,-23.79882,135.224731,-100,-100
0.462385,-23.79882,135.224731,-100,-100
0.439797,-48.580562,1504.925423,-100,-100
0.447123,-50.124075,1348.729461,-100,-100
0.431284,-48.580562,1504.925423,-100,-100
0.461709,-20.266584,-244.974143,-100,-100
0.457338,-15.175553,-484.925814,-100,-100
0.460218,-20.266584,-244.974143,-100,-100
0.463617,-20.266584,-244.974143,-100,-100
0.467867,-31.325563,-3559.730119,67.118025,-100
0.469633,-21.334549,-2371.806101,43.273305,-100
0.428259,5.985491,-931.112611,-100,-100
0.426248,10.482987,-1937.490183,-100,-100
0.42736,21.450805,-976.622234,-100,55.474401
0.410729,34.085986,-81.977319,-100,-100
0.413857,34.085986,-81.977319,-100,-100
0.416632,35.913134,-1746.978226,-100,48.191187
0.407833,34.085986,-81.977319,-100,-100
0.419766,38.494537,-2355.187331,-100,69.61921
0.45102,99.401269,-8016.858624,-100,-100
0.446316,99.401269,-8016.858624,-100,-100
0.43701,181.717684,10454.88016,-100,163.204883
0.427877,168.816847,13413.11038,-100,138.090136
0.505923,-95.708675,-8664.244321,203.434899,-100
0.512544,-95.708675,-8664.244321,147.215294,-100
0.498972,-95.708675,-8664.244321,203.434899,-100
0.431224,60.333416,1351.827025,-100,-100
0.43718,60.333416,1351.827025,-100,-100
0.438313,33.17082,1.454998,-100,-100
0.425236,165.721891,12622.56751,-100,-100
0.434156,26.719023,-126.742106,-100,-100
0.430877,26.719023,-126.742106,-100,-100
0.47497,10.997022,-3960.425344,-100,41.505277
0.475657,10.997022,-3960.425344,-100,38.14538
0.477552,23.733002,-2805.991573,-100,-100
0.478469,23.733002,-2805.991573,-100,-100
0.480662,20.663322,-2664.032489,-100,-100
0.474442,10.997022,-3960.425344,-100,-100
0.441415,139.890158,-9044.394335,-100,174.200416
0.446156,99.401269,-8016.858624,-100,133.364955
0.440995,99.401269,-8016.858624,-100,133.364955
0.440977,137.385162,-21782.41861,-100,265.61271
0.454804,83.869556,-7931.888655,-100,-100
0.511896,3.233588,-1.731531,-100,-100
0.444438,-15.679716,-44.4233,-100,-100
0.450992,-15.899294,6.913084,-100,-100
0.440487,13.826022,-402.783222,-100,-100
0.471799,-21.334549,-2371.806101,43.273305,-100
0.474117,-21.334549,-2371.806101,43.273305,-100
0.477376,-21.334549,-2371.806101,58.084349,-100
0.468551,-29.937518,-1324.748858,36.62303,-100
0.459317,-25.544889,-253.38484,16.643214,-100
0.488919,-86.00567,-12323.56659,189.517311,-100
0.483001,-25.727179,-2264.699923,61.894123,-100
0.424027,9.634557,-2514.389465,-100,50.985503
0.421166,38.494537,-2355.187331,-100,69.61921
0.409415,31.218993,-2171.917302,-100,61.955973
0.415847,38.494537,-2355.187331,-100,69.61921
0.425678,-108.729077,7252.541611,-100,-100
0.421512,-70.457226,3688.256607,-100,-100
0.404967,28.708062,-86.233225,-100,-100
0.412022,52.15747,1068.816783,-100,-100
0.408325,52.15747,1068.816783,-100,-100
0.469482,33.065241,747.541206,-100,-100
0.471129,113.598689,2448.662185,-100,110.490494
0.481541,20.663322,-2664.032489,-100,-100
0.482436,0.984515,-2768.058878,-100,-100
0.481717,20.663322,-2664.032489,-100,-100
0.476659,45.752077,-57.411046,-100,-100
0.476423,181.864012,22682.09749,-100,-100
0.455578,-22.192759,-448.124169,19.002966,-100
0.468758,-62.391458,2580.988226,-100,-100
0.477614,77.417418,3879.015047,-100,-100
0.500482,9.1119,1.428731,-100,-100
0.414026,35.913134,-1746.978226,-100,48.191187
0.411691,35.913134,-1746.978226,-100,48.191187
0.417671,38.494537,-2355.187331,-100,69.61921
0.422711,38.494537,-2355.187331,-100,69.61921
0.418557,35.254861,-3065.055416,-100,88.180136
0.414093,33.460634,-2978.695134,-100,84.76889
0.465466,-64.953654,2816.89289,-100,-100
0.469038,-13.576804,140.655151,-100,-100
0.467315,24.333124,417.245189,-100,-100
0.407148,-33.360062,967.133535,-100,-100
0.419275,-48.580562,1504.925423,-100,-100
0.417191,-48.580562,1504.925423,-100,-100
0.431266,13.826022,-402.783222,-100,-100
0.427508,-42.922474,1219.864178,-100,-100
0.424946,9.634557,-2514.389465,-100,50.985503
0.425976,-75.640209,3409.662115,77.720805,-100
0.378299,-12.892978,-206.904803,28.855169,-100
0.528071,-34.344321,1011.557868,-100,-100
0.51829,-22.641337,63.90384,-100,-100
0.502642,-95.708675,-8664.244321,182.781236,-100
0.508043,-95.708675,-8664.244321,142.602969,-100
0.521983,-2.471241,-80.301031,-100,-100
0.477916,128.217839,2673.934452,-100,181.973509
0.396122,-16.26729,15.558234,-100,-100
0.399125,-16.26729,15.558234,-100,-100
0.412337,-17.565731,-52.869595,-100,-100
0.417215,-17.565731,-52.869595,-100,-100
0.410559,2.765898,-2.329809,-100,-100
0.508799,92.054768,3946.578199,-100,-100
0.466397,-64.953654,2816.89289,-100,-100
0.462816,-64.953654,2816.89289,-100,-100
0.463586,-64.953654,2816.89289,-100,-100
0.459639,-75.770876,2953.759815,-100,-100
0.444542,-130.651318,1455.741586,-100,-100
0.452038,-18.920642,-408.414052,-100,-100
0.452675,-23.79882,135.224731,-100,-100
0.450071,-19.888452,-148.16074,-100,-100
0.492358,-45.799558,-2719.216101,86.901316,-100
0.492445,33.855967,114.484913,-100,-100
0.524039,33.998808,-65.306078,89.81038,-100
0.410992,-125.562472,7307.42239,193.002424,-100
0.425913,-75.640209,3409.662115,76.13213,-100
0.425316,-167.057842,3534.817742,280.918236,-100
0.424414,-155.930614,11362.2216,220.683796,-100
0.419557,-155.930614,11362.2216,249.150474,-100
0.536226,1.750315,2.540369,-100,-100
0.52809,-90.310194,6091.102872,-100,-100
0.517758,-179.528894,18358.45555,242.896812,-100
0.535013,-6.981492,-14.574597,-100,-100
0.389721,-12.822075,-211.456183,26.219737,-100
0.385712,-12.822075,-211.456183,26.219737,-100
0.468153,-64.953654,2816.89289,-100,-100
0.469478,33.065241,747.541206,-100,-100
0.4694,24.333124,417.245189,-100,-100
0.456729,-64.953654,2816.89289,-100,-100
0.439869,-66.53682,3048.082917,-100,-100
0.45604,-23.79882,135.224731,-100,-100
0.457769,-23.79882,135.224731,-100,-100
0.461046,-23.79882,135.224731,-100,-100
0.464245,-23.79882,135.224731,-100,-100
0.417352,-48.580562,1504.925423,-100,-100
0.438392,-15.679716,-44.4233,-100,-100
0.480162,184.449261,19671.25714,-100,-100
0.496442,88.241103,4373.568158,-100,-100
0.465219,123.844764,11355.84306,-100,-100
0.43993,-50.124075,1348.729461,-100,-100
0.433375,-48.580562,1504.925423,-100,-100
0.433426,-15.679716,-44.4233,-100,-100
0.388891,-12.892978,-206.904803,28.855169,-100
0.465232,-23.79882,135.224731,-100,-100
0.463888,-15.379822,-364.279915,-100,-100
0.466689,62.202613,-2154.042067,-100,103.199095
0.406056,-94.318629,5340.744543,129.699717,-100
0.429789,-15.679716,-44.4233,-100,-100
0.424285,-75.022504,3271.283348,93.879485,-100
0.51944,92.054768,3946.578199,-100,-100
0.493057,45.752077,-57.411046,-100,-100
0.469866,123.844764,11355.84306,-100,-100
0.469874,32.422765,696.377971,-100,-100
0.470271,30.621383,534.109025,-100,-100
0.469427,-21.536633,212.901929,-100,-100
0.465755,-62.391458,2580.988226,-100,-100
0.506529,92.054768,3946.578199,-100,-100
0.495943,88.241103,4373.568158,-100,-100
0.493982,88.241103,4373.568158,-100,-100
0.417521,-75.022504,3271.283348,102.984815,-100
0.42851,-48.580562,1504.925423,-100,-100
0.42549,-48.580562,1504.925423,-100,-100
0.4241,-48.580562,1504.925423,-100,-100
0.47214,43.668834,-903.780891,-100,-100
0.476723,23.733002,-2805.991573,-100,-100
0.47901,20.663322,-2664.032489,-100,-100
0.479823,20.663322,-2664.032489,-100,-100
0.475617,5.144237,-1756.088378,-100,-100
0.426453,-167.057842,3534.817742,311.412914,-100
0.471383,54.430391,1792.549651,-100,51.253039
0.466286,-15.379822,-364.279915,-100,-100
0.467472,42.003352,-1759.436234,-100,67.405332
0.468336,-21.330435,-558.326054,-100,-100
0.469059,35.53226,-494.989031,-100,-100
0.404875,-14.00411,70.201703,-100,-100
0.402586,-14.00411,70.201703,-100,-100
0.419855,38.494537,-2355.187331,-100,69.61921
0.423295,9.634557,-2514.389465,-100,50.985503
0.458409,-64.953654,2816.89289,-100,-100
0.450314,-64.953654,2816.89289,-100,-100
0.422375,-167.057842,3534.817742,302.590416,-100
0.425916,-75.640209,3409.662115,92.326755,-100
0.422485,-1.460379,-2736.471679,-100,-100
0.463255,-81.206214,3493.34859,-100,-100
0.46537,-31.920969,274.485462,-100,-100
0.380043,-12.481187,-1675.530283,-100,-100
0.426874,-59.024071,1917.763477,-100,-100
0.428309,-50.124075,1348.729461,-100,-100
0.50972,45.752077,-57.411046,-100,-100
0.468581,46.215838,209.235139,-100,-100
0.464295,123.844764,11355.84306,-100,-100
0.480729,46.215838,209.235139,-100,-100
0.525995,-83.908355,5369.739018,-100,-100
0.532177,-18.426691,213.14533,-100,-100
0.529018,-103.749625,7667.730911,-100,-100
0.527743,-32.711001,352.818685,-100,-100
0.532253,10.313805,-0.151535,-100,-100
0.535454,-7.040219,-12.820063,-100,-100
0.467582,-47.0514,1519.985594,-100,-100
0.466656,-43.67477,644.748853,-100,-100
0.467608,-31.920969,274.485462,-100,-100
0.464017,42.003352,-1759.436234,-100,64.003859
0.520625,92.054768,3946.578199,-100,-100
0.509554,92.054768,3946.578199,-100,-100
0.492736,12.400542,-399.116539,-100,-100
0.489589,-25.727179,-2264.699923,39.128162,-100
0.503637,87.854669,2654.248293,-100,-100
0.466527,-29.937518,-1324.748858,36.62303,-100
0.464731,-29.937518,-1324.748858,36.62303,-100
0.486325,-25.727179,-2264.699923,61.894123,-100
0.488434,-45.799558,-2719.216101,86.901316,-100
0.452268,-75.770876,2953.759815,-100,-100
0.441149,-75.770876,2953.759815,-100,-100
0.447043,-61.005927,1914.470817,-100,-100
0.388421,-148.670527,1614.519219,125.857587,-100
0.513798,87.854669,2654.248293,-100,-100
0.516895,92.054768,3946.578199,-100,-100
0.459713,-23.79882,135.224731,-100,-100
0.531885,-33.142356,979.528509,-100,-100
0.53927,1.384282,1.660102,-100,-100
0.458303,-52.786966,1544.927985,-100,-100
0.454235,-52.786966,1544.927985,-100,-100
0.461727,-52.786966,1544.927985,-100,-100
0.463079,-23.79882,135.224731,-100,-100
0.463672,-57.872212,1712.40676,-100,-100
0.448925,-15.175553,-484.925814,-100,-100
