crtR(2011:2022),peak,pit,saddle,ridge,ravine,Longitude,Latitude
0.421142,0,0,1,1,0,140.909648,37.37971
0.391859,1,0,0,1,0,140.909083,37.379709
0.48144,0,0,1,1,0,140.911342,37.380162
0.481843,0,0,1,1,0,140.911341,37.380613
0.484407,0,0,1,0,0,140.91247,37.381064
0.47294,0,0,1,0,0,140.909647,37.381062
0.47514,0,0,1,0,1,140.910211,37.381062
0.456808,0,0,1,1,0,140.910212,37.380161
0.478998,0,0,1,0,0,140.910776,37.381063
0.473825,0,1,0,0,1,140.913033,37.382867
0.47238,0,1,0,0,1,140.913033,37.383318
0.412491,0,0,1,0,1,140.920377,37.38107
0.400621,0,1,0,0,1,140.921507,37.38062
0.425776,0,1,0,0,1,140.918683,37.381519
0.43128,0,1,0,0,1,140.918118,37.381519
0.460483,0,0,1,0,0,140.916425,37.380166
0.456971,0,0,1,0,0,140.916424,37.380616
0.465269,0,1,0,0,0,140.91586,37.380165
0.450588,0,0,1,0,1,140.91812,37.379716
0.445915,0,0,1,0,1,140.918684,37.379716
0.420682,0,1,0,0,0,140.918682,37.382421
0.396849,0,1,0,0,0,140.921506,37.381521
0.403322,0,1,0,0,0,140.920942,37.381521
0.396978,0,1,0,0,0,140.921506,37.381972
0.439838,0,0,1,1,0,140.909648,37.380161
0.459461,0,0,1,1,0,140.909647,37.380611
0.420317,0,1,0,0,0,140.918681,37.382871
0.462401,0,1,0,0,0,140.91586,37.380616
0.458954,0,1,0,0,0,140.915859,37.381067
0.466799,0,0,1,1,0,140.910212,37.380612
0.475311,0,0,1,1,0,140.910777,37.380612
0.489587,0,0,1,0,0,140.906828,37.377004
0.470504,0,1,0,0,1,140.914164,37.381967
0.458567,0,1,0,0,0,140.91529,37.384672
0.429084,1,0,0,1,0,140.908519,37.379709
0.432787,1,0,0,1,0,140.909083,37.38016
0.443004,0,1,0,0,1,140.916988,37.381518
0.447133,0,0,1,0,1,140.916989,37.381067
0.420381,0,1,0,0,0,140.919247,37.38152
0.412449,0,1,0,0,0,140.919812,37.381971
0.398114,0,1,0,0,0,140.921507,37.38107
0.405662,0,0,1,0,1,140.920942,37.38107
0.389803,0,1,0,0,0,140.922071,37.381521
0.459122,1,0,0,1,0,140.909082,37.380611
0.494152,1,0,0,1,0,140.907952,37.381061
0.480603,1,0,0,0,0,140.90965,37.378358
0.494054,1,0,0,0,0,140.90965,37.377907
0.480724,0,0,1,0,0,140.909085,37.378357
0.457243,1,0,0,1,0,140.909649,37.378808
0.468598,0,1,0,0,1,140.914163,37.382417
0.467311,0,1,0,0,1,140.914163,37.382868
0.431515,0,1,0,0,1,140.917552,37.38242
0.437705,0,1,0,0,1,140.916987,37.382419
0.430763,0,1,0,0,1,140.917551,37.38287
0.436886,0,1,0,0,1,140.916987,37.38287
0.439761,0,1,0,0,1,140.916988,37.381969
0.483941,0,0,1,0,1,140.909645,37.381963
0.480666,0,0,1,0,1,140.909646,37.381513
0.480241,0,0,1,0,1,140.910211,37.381513
0.481243,0,0,1,0,1,140.910776,37.381513
0.47012,0,1,0,0,0,140.913597,37.383318
0.484036,0,0,1,0,1,140.909645,37.382414
0.482708,1,0,0,1,0,140.908517,37.381061
0.504853,0,0,1,0,0,140.906827,37.377454
0.417308,0,0,1,0,0,140.919245,37.383322
0.455595,0,1,0,0,1,140.915859,37.381517
0.452878,0,1,0,0,1,140.915858,37.381968
0.48227,0,0,1,0,1,140.91021,37.381964
0.466687,0,1,0,0,0,140.914162,37.383319
0.466643,0,1,0,0,0,140.914162,37.383769
0.517358,1,0,0,1,0,140.906824,37.380158
0.499959,1,0,0,1,0,140.907389,37.380159
0.491796,0,0,1,1,0,140.908515,37.382413
0.393689,0,0,1,1,0,140.922635,37.382874
0.39752,0,0,1,0,0,140.92207,37.382874
0.49249,0,0,1,1,0,140.908516,37.381962
0.407163,0,1,0,0,0,140.920376,37.382422
0.411476,0,1,0,0,0,140.919811,37.382421
0.404788,0,1,0,0,0,140.92094,37.382873
0.47508,1,0,0,1,0,140.909082,37.381061
0.507307,0,0,1,1,0,140.907387,37.381511
0.462099,0,1,0,0,0,140.914727,37.383319
0.466324,0,0,1,0,1,140.910207,37.384668
0.469836,0,0,1,0,1,140.910208,37.384217
0.466719,0,0,1,0,1,140.909642,37.384667
0.423163,0,0,1,0,0,140.91868,37.383773
0.415955,0,1,0,0,0,140.919246,37.382872
0.443442,0,1,0,0,1,140.916422,37.38287
0.513985,0,0,1,0,0,140.906827,37.377905
0.49449,0,0,1,0,0,140.907957,37.377004
0.494862,0,0,1,0,0,140.908522,37.377005
0.502358,0,0,1,0,0,140.908521,37.377456
0.506055,0,0,1,0,0,140.907392,37.377455
0.504824,0,0,1,0,0,140.907957,37.377455
0.49287,0,0,1,0,0,140.907392,37.377004
0.481893,0,0,1,0,1,140.91021,37.382414
0.482905,0,0,1,0,0,140.911905,37.381514
0.482216,0,0,1,0,0,140.91247,37.381515
0.486413,1,0,0,1,0,140.907953,37.38061
0.484459,0,1,0,0,0,140.906263,37.377003
0.462421,0,1,0,0,1,140.914728,37.382868
0.457539,0,1,0,0,1,140.915293,37.382418
0.459329,0,1,0,0,1,140.915293,37.381967
0.461831,0,1,0,0,1,140.915294,37.381517
0.466938,0,1,0,0,0,140.914161,37.38422
0.467256,0,1,0,0,0,140.914161,37.384671
0.445757,0,0,1,0,0,140.91642,37.384222
0.451984,0,1,0,0,0,140.915856,37.384221
0.497077,0,0,1,1,0,140.907951,37.382413
0.481395,0,0,1,1,0,140.909079,37.383315
0.478744,0,0,1,0,1,140.909644,37.383315
0.479863,0,0,1,0,1,140.910209,37.382865
0.481114,0,0,1,0,0,140.911905,37.381965
0.479993,0,0,1,0,0,140.912469,37.381965
0.477748,0,0,1,0,0,140.912469,37.382416
0.518174,0,0,1,0,0,140.906826,37.378356
0.511362,0,0,1,0,0,140.907391,37.378356
0.487637,0,0,1,0,0,140.907955,37.378807
0.498235,0,0,1,1,0,140.907952,37.381511
0.489895,0,0,1,1,0,140.908516,37.381512
0.477076,0,0,1,1,0,140.909078,37.383766
0.449445,1,0,0,1,0,140.908518,37.38016
0.469462,1,0,0,1,0,140.908518,37.38061
0.456582,0,1,0,0,1,140.915292,37.382869
0.450136,0,1,0,0,1,140.915857,37.382869
0.446262,0,1,0,0,1,140.916423,37.381968
0.465707,0,0,1,0,0,140.90852,37.378808
0.500397,0,0,1,0,0,140.907956,37.378356
0.495831,0,0,1,0,0,140.909086,37.377907
0.476859,0,0,1,0,1,140.910209,37.383316
0.485051,0,0,1,1,0,140.90908,37.382864
0.481999,0,0,1,0,1,140.909644,37.382865
0.470803,0,0,1,0,1,140.909643,37.384217
0.473421,0,0,1,0,1,140.910208,37.383767
0.480298,0,0,1,0,1,140.913035,37.381515
0.402387,0,1,0,0,0,140.920941,37.381971
0.409291,0,1,0,0,0,140.920377,37.38152
0.389769,0,1,0,0,0,140.922072,37.381071
0.47489,0,0,1,0,1,140.909643,37.383766
0.424712,0,0,1,0,1,140.919244,37.384674
0.499797,0,0,1,0,0,140.909086,37.377456
0.500505,0,0,1,0,0,140.908521,37.377906
0.488401,0,0,1,0,0,140.90852,37.378357
0.506694,0,0,1,0,0,140.907956,37.377906
0.487342,0,0,1,1,0,140.90908,37.382414
0.384964,0,0,1,1,0,140.922636,37.381973
0.457033,0,1,0,0,0,140.915291,37.38377
0.456475,0,1,0,0,0,140.915292,37.38332
0.4259,0,1,0,0,0,140.918116,37.383322
0.427478,0,1,0,0,0,140.918115,37.383772
0.432548,0,1,0,0,0,140.91755,37.383772
0.451016,0,1,0,0,1,140.915858,37.382419
0.444297,0,1,0,0,1,140.916422,37.382419
0.425444,0,0,1,0,0,140.91868,37.384223
0.422303,0,0,1,0,1,140.919244,37.384224
0.450939,0,1,0,0,0,140.915856,37.383771
0.444562,0,1,0,0,0,140.916421,37.383771
0.419612,0,0,1,0,0,140.919245,37.383773
0.470727,0,1,0,0,0,140.913032,37.384219
0.470921,0,1,0,0,1,140.912467,37.384219
0.476365,1,0,0,1,0,140.907953,37.380159
0.474072,1,0,0,0,0,140.907954,37.379258
0.437017,1,0,0,0,0,140.908519,37.379258
0.506479,0,0,1,0,0,140.90739,37.378807
0.415944,0,1,0,0,0,140.919246,37.382421
0.421286,0,1,0,0,0,140.918681,37.383322
0.519889,0,0,1,0,0,140.906261,37.378355
0.50076,1,0,0,0,0,140.90739,37.379257
0.50361,1,0,0,1,0,140.907388,37.380609
0.49823,1,0,0,1,0,140.907389,37.379708
0.469562,1,0,0,1,0,140.907954,37.379709
0.493327,0,0,1,1,0,140.90795,37.382863
0.49796,0,0,1,1,0,140.907385,37.382863
0.472479,0,0,1,1,0,140.909078,37.384216
0.463021,0,0,1,0,1,140.910206,37.385119
0.440658,0,0,1,0,0,140.916985,37.384673
0.439694,0,0,1,0,0,140.916985,37.384222
0.435334,0,0,1,0,0,140.91755,37.384673
0.446581,0,0,1,0,0,140.91642,37.384672
0.450174,0,1,0,0,0,140.915857,37.38332
0.443615,0,1,0,0,0,140.916421,37.38332
0.458557,0,1,0,0,0,140.91529,37.385122
0.42636,1,0,0,0,0,140.919243,37.385576
0.391191,0,0,1,0,0,140.922071,37.381972
0.401207,0,1,0,0,0,140.921505,37.382873
0.402886,0,1,0,0,0,140.920941,37.382422
0.39847,0,1,0,0,0,140.921505,37.382422
0.407478,0,1,0,0,0,140.920376,37.381971
0.472387,0,0,1,0,1,140.911338,37.383767
0.469935,0,0,1,0,1,140.911337,37.384218
0.472639,0,0,1,0,1,140.910773,37.383767
0.453004,0,0,1,0,0,140.90964,37.38647
0.456011,0,0,1,0,0,140.909641,37.38602
0.462798,0,0,1,0,0,140.909642,37.385118
0.459245,0,0,1,0,0,140.909641,37.385569
0.460049,0,0,1,0,0,140.910206,37.385569
0.474734,0,0,1,1,0,140.908513,37.384216
0.48471,0,0,1,1,0,140.908514,37.383315
0.479859,0,0,1,1,0,140.908514,37.383765
0.463418,0,0,1,1,0,140.909077,37.385118
0.457399,1,0,0,0,0,140.910205,37.38602
0.457367,1,0,0,0,0,140.915289,37.385573
0.446392,0,0,1,0,0,140.916419,37.385123
0.452729,0,1,0,0,0,140.915855,37.384672
0.512881,1,0,0,0,0,140.906256,37.382411
0.417424,0,1,0,0,0,140.919247,37.38197
0.422513,0,1,0,0,1,140.918682,37.38197
0.425841,0,1,0,0,1,140.918117,37.38242
0.433602,0,1,0,0,1,140.917552,37.381969
0.40207,1,0,0,0,0,140.922069,37.383324
0.383704,0,0,1,1,0,140.9232,37.382424
0.393818,0,0,1,0,0,140.92207,37.382423
0.460755,1,0,0,0,0,140.914724,37.386023
0.452596,0,1,0,0,1,140.915855,37.385123
0.463633,0,1,0,0,0,140.914725,37.385122
0.457898,0,1,0,0,0,140.915291,37.384221
0.463007,0,1,0,0,0,140.914726,37.384221
0.463561,0,1,0,0,0,140.914725,37.384671
0.42938,0,0,1,0,0,140.918115,37.384223
0.435367,0,0,1,0,0,140.917549,37.385124
0.448823,1,0,0,0,0,140.915288,37.386474
0.45441,1,0,0,0,0,140.915289,37.386024
0.462856,1,0,0,0,0,140.914724,37.385573
0.466833,1,0,0,0,0,140.91416,37.385572
0.462402,0,1,0,0,0,140.914726,37.38377
0.524977,1,0,0,0,0,140.906261,37.378806
0.51887,0,0,1,0,0,140.906825,37.378806
0.517945,1,0,0,0,0,140.906825,37.379257
0.506474,1,0,0,1,0,140.907387,37.38106
0.456061,0,0,1,0,0,140.908511,37.386019
0.522695,1,0,0,0,0,140.906257,37.38151
0.517394,1,0,0,1,0,140.906823,37.38106
0.515712,0,0,1,1,0,140.906822,37.38151
0.5172,1,0,0,1,0,140.906824,37.379708
0.528932,1,0,0,0,0,140.90626,37.379707
0.45498,1,0,0,0,0,140.910205,37.386471
0.459615,1,0,0,0,0,140.91077,37.38602
0.462385,1,0,0,0,0,140.911335,37.386021
0.439797,1,0,0,0,0,140.916418,37.386025
0.447123,1,0,0,0,0,140.915854,37.386024
0.431284,1,0,0,0,0,140.916418,37.386475
0.461709,0,0,1,0,0,140.907947,37.385568
0.457338,0,0,1,0,0,140.907946,37.386018
0.460218,0,0,1,0,0,140.908512,37.385568
0.463617,0,0,1,0,0,140.907382,37.385567
0.467867,0,0,1,1,0,140.909077,37.384667
0.469633,0,0,1,1,0,140.908513,37.384667
0.428259,0,0,1,0,0,140.918679,37.385125
0.426248,0,0,1,0,0,140.919243,37.385125
0.42736,0,0,1,0,1,140.918679,37.384674
0.410729,0,0,1,0,0,140.920375,37.383323
0.413857,0,0,1,0,0,140.91981,37.383323
0.416632,0,0,1,0,1,140.91981,37.383773
0.407833,0,0,1,0,0,140.92094,37.383323
0.419766,0,0,1,0,1,140.919809,37.384224
0.45102,0,0,1,0,0,140.917554,37.380166
0.446316,0,0,1,0,0,140.917554,37.380617
0.43701,0,1,0,0,1,140.917553,37.381518
0.427877,0,1,0,0,1,140.918117,37.381969
0.505923,0,0,1,1,0,140.907386,37.381962
0.512544,0,0,1,1,0,140.906822,37.381961
0.498972,0,0,1,1,0,140.907951,37.381962
0.431224,0,1,0,0,0,140.917551,37.383321
0.43718,0,1,0,0,0,140.916986,37.383321
0.438313,0,1,0,0,0,140.916986,37.383771
0.425236,0,1,0,0,0,140.918116,37.382871
0.434156,0,0,1,0,0,140.91755,37.384223
0.430877,0,0,1,0,0,140.918114,37.384674
0.47497,0,0,1,0,1,140.911338,37.383317
0.475657,0,0,1,0,1,140.910773,37.383316
0.477552,0,0,1,0,0,140.911339,37.382866
0.478469,0,0,1,0,0,140.910774,37.382866
0.480662,0,0,1,0,0,140.910774,37.382415
0.474442,0,0,1,0,0,140.911903,37.383317
0.441415,0,0,1,0,1,140.917553,37.381068
0.446156,0,0,1,0,1,140.918119,37.380167
0.440995,0,0,1,0,1,140.918119,37.380617
0.440977,0,0,1,0,1,140.918684,37.380167
0.454804,0,0,1,0,0,140.917555,37.379716
0.511896,0,0,1,0,0,140.906262,37.377904
0.444438,0,0,1,0,0,140.916419,37.385574
0.450992,1,0,0,0,0,140.915854,37.385573
0.440487,0,0,1,0,0,140.916984,37.385124
0.471799,0,0,1,1,0,140.907948,37.384666
0.474117,0,0,1,1,0,140.907383,37.384666
0.477376,0,0,1,1,0,140.907948,37.384215
0.468551,0,0,1,1,0,140.907382,37.385116
0.459317,0,0,1,1,0,140.909076,37.385568
0.488919,0,0,1,1,0,140.908515,37.382864
0.483001,0,0,1,1,0,140.907949,37.383765
0.424027,0,0,1,0,1,140.920373,37.385126
0.421166,0,0,1,0,1,140.920374,37.384675
0.409415,0,0,1,0,1,140.921504,37.383775
0.415847,0,0,1,0,1,140.920939,37.384225
0.425678,1,0,0,0,0,140.921502,37.385577
0.421512,1,0,0,0,0,140.922067,37.385127
0.404967,0,0,1,0,0,140.921505,37.383324
0.412022,0,1,0,0,0,140.919811,37.382872
0.408325,0,1,0,0,0,140.920375,37.382872
0.469482,0,1,0,0,0,140.913596,37.38422
0.471129,0,1,0,0,1,140.913598,37.382868
0.481541,0,0,1,0,0,140.91134,37.381965
0.482436,0,0,1,0,0,140.91134,37.381514
0.481717,0,0,1,0,0,140.910775,37.381964
0.476659,0,0,1,0,0,140.904568,37.377903
0.476423,0,1,0,0,0,140.902874,37.377
0.455578,0,0,1,1,0,140.909076,37.386019
0.468758,1,0,0,0,0,140.913029,37.386022
0.477614,0,1,0,0,0,140.905698,37.377003
0.500482,0,1,0,0,0,140.906262,37.377454
0.414026,0,0,1,0,1,140.920374,37.383774
0.411691,0,0,1,0,1,140.920939,37.383774
0.417671,0,0,1,0,1,140.920374,37.384224
0.422711,0,0,1,0,1,140.919809,37.384675
0.418557,0,0,1,0,1,140.921503,37.384676
0.414093,0,0,1,0,1,140.921504,37.384225
0.465466,1,0,0,0,0,140.914159,37.386023
0.469038,1,0,0,0,0,140.913595,37.385572
0.467315,0,1,0,0,0,140.91416,37.385122
0.407148,1,0,0,0,0,140.922069,37.383775
0.419275,1,0,0,0,0,140.917548,37.386476
0.417191,1,0,0,0,0,140.918112,37.386476
0.431266,0,0,1,0,0,140.918114,37.385124
0.427508,1,0,0,0,0,140.918678,37.385575
0.424946,0,0,1,0,1,140.919808,37.385125
0.425976,1,0,0,1,0,140.919808,37.385576
0.378299,0,0,1,1,0,140.9232,37.381973
0.528071,1,0,0,0,0,140.905693,37.38151
0.51829,1,0,0,0,0,140.906257,37.381961
0.502642,0,0,1,1,0,140.907386,37.382412
0.508043,0,0,1,1,0,140.906821,37.382412
0.521983,0,0,1,0,0,140.901737,37.383309
0.477916,0,1,0,0,1,140.913034,37.381966
0.396122,1,0,0,0,0,140.923199,37.383325
0.399125,1,0,0,0,0,140.922634,37.383325
0.412337,0,0,1,0,0,140.922068,37.384226
0.417215,0,0,1,0,0,140.922068,37.384676
0.410559,0,0,1,0,0,140.922633,37.384226
0.508799,0,1,0,0,0,140.901179,37.3779
0.466397,1,0,0,0,0,140.913594,37.386473
0.462816,1,0,0,0,0,140.914159,37.386474
0.463586,1,0,0,0,0,140.913593,37.386924
0.459639,1,0,0,0,0,140.913593,37.387375
0.444542,1,0,0,0,0,140.914157,37.387826
0.452038,0,0,1,0,0,140.909075,37.38647
0.452675,1,0,0,0,0,140.910204,37.386921
0.450071,0,0,1,0,0,140.90964,37.386921
0.492358,0,0,1,1,0,140.907385,37.383314
0.492445,0,1,0,0,0,140.905698,37.377453
0.524039,0,0,1,1,0,140.905131,37.378805
0.410992,1,0,0,1,0,140.919242,37.386928
0.425913,1,0,0,1,0,140.920373,37.385577
0.425316,1,0,0,1,0,140.919807,37.386027
0.424414,1,0,0,1,0,140.919242,37.386026
0.419557,1,0,0,1,0,140.919242,37.386477
0.536226,0,1,0,0,0,140.905694,37.380157
0.52809,1,0,0,0,0,140.906258,37.380609
0.517758,1,0,0,1,0,140.906823,37.380609
0.535013,0,0,1,0,0,140.905694,37.380608
0.389721,0,0,1,1,0,140.923199,37.382874
0.385712,0,0,1,1,0,140.923764,37.382875
0.468153,1,0,0,0,0,140.913594,37.386022
0.469478,0,1,0,0,0,140.913596,37.38467
0.4694,0,1,0,0,0,140.913595,37.385121
0.456729,1,0,0,0,0,140.914723,37.386474
0.439869,1,0,0,0,0,140.915288,37.386925
0.45604,1,0,0,0,0,140.910769,37.386922
0.457769,1,0,0,0,0,140.91077,37.386471
0.461046,1,0,0,0,0,140.911335,37.386472
0.464245,1,0,0,0,0,140.911899,37.386472
0.417352,1,0,0,0,0,140.916417,37.386926
0.438392,0,0,1,0,0,140.916984,37.385574
0.480162,0,1,0,0,0,140.90231,37.377
0.496442,0,1,0,0,0,140.901744,37.37745
0.465219,0,1,0,0,0,140.904004,37.377001
0.43993,1,0,0,0,0,140.915853,37.386475
0.433375,1,0,0,0,0,140.916983,37.386025
0.433426,0,0,1,0,0,140.917549,37.385575
0.388891,0,0,1,1,0,140.922635,37.382423
0.465232,1,0,0,0,0,140.9119,37.386021
0.463888,0,0,1,0,0,140.911336,37.38557
0.466689,0,0,1,0,1,140.910772,37.384668
0.406056,1,0,0,1,0,140.918677,37.386927
0.429789,0,0,1,0,0,140.918113,37.385575
0.424285,1,0,0,1,0,140.918678,37.386026
0.51944,0,1,0,0,0,140.901178,37.378351
0.493057,0,0,1,0,0,140.905132,37.377904
0.469866,0,1,0,0,0,140.905133,37.377002
0.469874,0,1,0,0,0,140.913031,37.385121
0.470271,0,1,0,0,0,140.913031,37.38467
0.469427,1,0,0,0,0,140.91303,37.385571
0.465755,1,0,0,0,0,140.913028,37.386923
0.506529,0,1,0,0,0,140.900614,37.3779
0.495943,0,1,0,0,0,140.90118,37.37745
0.493982,0,1,0,0,0,140.900615,37.377449
0.417521,1,0,0,1,0,140.918677,37.386477
0.42851,1,0,0,0,0,140.917548,37.386025
0.42549,1,0,0,0,0,140.918113,37.386026
0.4241,1,0,0,0,0,140.916983,37.386476
0.47214,0,0,1,0,0,140.912467,37.383768
0.476723,0,0,1,0,0,140.911904,37.382866
0.47901,0,0,1,0,0,140.911904,37.382416
0.479823,0,0,1,0,0,140.911339,37.382415
0.475617,0,0,1,0,0,140.912468,37.382867
0.426453,1,0,0,1,0,140.920372,37.386027
0.471383,0,1,0,0,1,140.913032,37.383769
0.466286,0,0,1,0,0,140.9119,37.385571
0.467472,0,0,1,0,1,140.911901,37.38512
0.468336,0,0,1,0,0,140.912465,37.385571
0.469059,0,0,1,0,0,140.912466,37.38512
0.404875,1,0,0,0,0,140.922634,37.383775
0.402586,1,0,0,0,0,140.923198,37.383776
0.419855,0,0,1,0,1,140.920938,37.384676
0.423295,0,0,1,0,1,140.920938,37.385126
0.458409,1,0,0,0,0,140.914158,37.386924
0.450314,1,0,0,0,0,140.914723,37.386925
0.422375,1,0,0,1,0,140.919807,37.386478
0.425916,1,0,0,1,0,140.920937,37.385577
0.422485,0,0,1,0,0,140.921503,37.385127
0.463255,1,0,0,0,0,140.913028,37.387374
